ID,,
,Perak,Gerik
,Perak,Lenggong
,Perak,Larut
,Perak,Parit Buntar
,Perak,Bagan Serai
,Perak,Bukit Gantang
,Perak,Taiping
,Perak,Padang Rengas
,Perak,Sungai Siput
,Perak,Tambun
,Perak,Ipoh Timur
,Perak,Ipoh Barat
,Perak,Batu Gajah
,Perak,Kuala Kangsar
,Perak,Pekan Beruas
,Perak,Parit
,Perak,Kampar
,Perak,Gopeng
,Perak,Tapah
,Perak,Pasir Salak
,Perak,Lumut
,Perak,Bagan Datoh
,Perak,Teluk Intan
,Perak,Tanjung Malim
,Perak,Pengkalan Hulu
,Perak,Kenering
,Perak,Selama
,Perak,Titi Serong
,Perak,Alor Pongsu
,Perak,Kuala Sepetang
,Perak,Kamunting
,Perak,Chenderoh
,Perak,Lintang
,Perak,Manjoi
,Perak,Canning
,Perak,Bercham
,Perak,Jelapang
,Perak,Bukit Chandan
,Perak,Pengkalan Baru
,Perak,Belanja
,Perak,Malim Nawar
,Perak,Sungai Rapat
,Perak,Chenderiang
,Perak,Sungai Manik
,Perak,Sitiawan
,Perak,Rungkup Kechil
,Perak,Pasir Bedamar
,Perak,Sungkai
,Perak,Temenggor
,Perak,Kota Tampan
,Perak,Kubu Gajah
,Perak,Kuala Kurau
,Perak,Gunung Semanggol
,Perak,Changkat Jering
,Perak,Pokok Assam
,Perak,Lubok Merbau
,Perak,Jalong
,Perak,Ulu Kinta
,Perak,Tebing Tinggi
,Perak,Kepayang
,Perak,Menglembu
,Perak,Manong
,Perak,Pantai Remis
,Perak,Bota
,Perak,Keranji
,Perak,Simpang Pulai
,Perak,Ayer Kuning
,Perak,Kampung Gajah
,Perak,Pasir Panjang
,Perak,Hutan Melintang
,Perak,Changkat Jong
,Perak,Slim River
,Perak,Slim
,Perak,Batu Kurau
,Perak,Selinsing
,Perak,Trong
,Perak,Aulong
,Perak,Pasir Pinji
,Perak,Buntong
,Perak,Tronoh
,Perak,Tualang Sekah
,Perak,Teja
,Perak,Pangkor
,Perak,Behrang
