ID,Negeri,Kawasan
,Sabah,Kudat
,Sabah,Kota Marudu
,Sabah,Kota Belud
,Sabah,Tuaran
,Sabah,Sepanggar
,Sabah,Kota Kinabalu
,Sabah,Putatan
,Sabah,Penampang
,Sabah,Papar
,Sabah,Kimanis
,Sabah,Beaufort
,Sabah,Sipitang
,Sabah,Ranau
,Sabah,Keningau
,Sabah,Tenom
,Sabah,Pensiangan
,Sabah,Beluran
,Sabah,Libaran
,Sabah,Batu Sapi
,Sabah,Sandakan
,Sabah,Kinabatangan
,Sabah,Silam
,Sabah,Semporna
,Sabah,Tawau
,Sabah,Kalabakan
,Sabah,Banggi
,Sabah,Matunggong
,Sabah,Tempasuk
,Sabah,Tamparuli
,Sabah,Karambunai
,Sabah,Likas
,Sabah,Tanjong Aru
,Sabah,Kepayan
,Sabah,Kawang
,Sabah,Bongawan
,Sabah,Klias
,Sabah,Lumadan
,Sabah,Kundasang
,Sabah,Tambunan
,Sabah,Melalap
,Sabah,Sook
,Sabah,Sugut
,Sabah,Gum-Gum
,Sabah,Sekong
,Sabah,Elopura
,Sabah,Kuamut
,Sabah,Tungku
,Sabah,Sulabayan
,Sabah,Balung
,Sabah,Merotai
,Sabah,Tanjong Kapor
,Sabah,Tandek
,Sabah,Kadamaian
,Sabah,Sulaman
,Sabah,Inanam
,Sabah,Api-Api
,Sabah,Petagas
,Sabah,Moyog
,Sabah,Pantai Manis
,Sabah,Membakut
,Sabah,Kuala Penyu
,Sabah,Sindumin
,Sabah,Karanaan
,Sabah,Bingkor
,Sabah,Kemabong
,Sabah,Nabawan
,Sabah,Labuk
,Sabah,Sungai Sibuga
,Sabah,Karamunting
,Sabah,Tanjong Papat
,Sabah,Sukau
,Sabah,Lahad Datu
,Sabah,Senallang
,Sabah,Apas
,Sabah,Tanjong Batu
,Sabah,Pitas
,Sabah,Usukan
,Sabah,Kiulu
,Sabah,Luyang
,Sabah,Paginatan
,Sabah,Liawan
,Sabah,Kunak
,Sabah,Bugaya
,Sabah,Sri Tanjong
,Sabah,Sebatik
