Id,Negeri,Kawasan
,Selangor,Sabak Bernam
,Selangor,Sungai Besar
,Selangor,Hulu Selangor
,Selangor,Tanjong Karang
,Selangor,Kuala Selangor
,Selangor,Selayang
,Selangor,Gombak
,Selangor,Ampang
,Selangor,Pandan
,Selangor,Hulu Langat
,Selangor,Serdang
,Selangor,Puchong
,Selangor,Kelana Jaya
,Selangor,Petaling Jaya Selatan
,Selangor,Petaling Jaya Utara
,Selangor,Subang
,Selangor,Shah Alam
,Selangor,Kapar
,Selangor,Klang
,Selangor,Kota Raja
,Selangor,Kuala Langat
,Selangor,Sepang
,Selangor,Sungai Air Tawar
,Selangor,Sungai Panjang
,Selangor,Hulu Bernam
,Selangor,Sungai Burong
,Selangor,Bukit Melawati
,Selangor,Kuang
,Selangor,Batu Caves
,Selangor,Bukit Antarabangsa
,Selangor,Dusun Tua
,Selangor,Bangi
,Selangor,Seri Serdang
,Selangor,Subang Jaya
,Selangor,Taman Medan
,Selangor,Kampung Tunku
,Selangor,Bukit Lanjan
,Selangor,Kota Anggerik
,Selangor,Meru
,Selangor,Pelabuhan Klang
,Selangor,Seri Andalas
,Selangor,Sijangkang
,Selangor,Tanjong Sepat
,Selangor,Sabak
,Selangor,Sekinchan
,Selangor,Kuala Kubu Baharu
,Selangor,Permatang
,Selangor,Ijok
,Selangor,Rawang
,Selangor,Gombak Setia
,Selangor,Lembah Jaya
,Selangor,Semenyih
,Selangor,Balakong
,Selangor,Kinrara
,Selangor,Seri Setia
,Selangor,Bukit Gasing
,Selangor,Damansara Utama
,Selangor,Paya Jaras
,Selangor,Batu Tiga
,Selangor,Sementa
,Selangor,Pandamaran
,Selangor,Sri Muda
,Selangor,Teluk Datuk
,Selangor,Dengkil
,Selangor,Batang Kali
,Selangor,Jeram
,Selangor,Taman Templer
,Selangor,Hulu Kelang
,Selangor,Chempaka
,Selangor,Kajang
,Selangor,Seri Kembangan
,Selangor,Kota Damansara
,Selangor,Sungai Pinang
,Selangor,Kota Alam Shah
,Selangor,Morib
,Selangor,Sungai Pelek
,Selangor,Teratai
,Selangor,Selat Klang
