ID,Negeri,Kawasan,,,,
,Terengganu,Besut,,,,
,Terengganu,Setiu,,,,
,Terengganu,Kuala Nerus,,,,
,Terengganu,Kuala Terengganu,,,,
,Terengganu,Marang,,,,
,Terengganu,Hulu Terengganu,,,,
,Terengganu,Dungun,,,,
,Terengganu,Kemaman,,,,
,Terengganu,Kota Putera,,,,
,Terengganu,Permaisuri,,,,
,Terengganu,Teluk Pasu,,,,
,Terengganu,Bandar,,,,
,Terengganu,Bukit Payung,,,,
,Terengganu,Manir,,,,
,Terengganu,Rantau Abang,,,,
,Terengganu,Kijal,,,,
,Terengganu,Kuala Besut,,,,
,Terengganu,Jabi,,,,
,Terengganu,Tepuh,,,,
,Terengganu,Wakaf Mempelam,,,,
,Terengganu,Alur Limbat,,,,
,Terengganu,Telemung,,,,
,Terengganu,Bukit Besi,,,,
,Terengganu,Kemasik,,,,
,Terengganu,Jertih,,,,
,Terengganu,Langkap,,,,
,Terengganu,Seberang Takir,,,,
,Terengganu,Ladang,,,,
,Terengganu,Ru Rendang,,,,
,Terengganu,Kuala Berang,,,,
,Terengganu,Sura,,,,
,Terengganu,Chukai,,,,
,Terengganu,Hulu Besut,,,,
,Terengganu,Batu Rakit,,,,
,Terengganu,Bukit Tunggal,,,,
,Terengganu,Batu Buruk,,,,y
,Terengganu,Pengkalan Berangan,,,,
,Terengganu,Ajil,,,,
,Terengganu,Paka,,,,
,Terengganu,Air Putih,,,,
